Comp_ID  1 1 2 3 4 7 10 80 83 86 87 88 89 90 91 92 93 94 95 97 98 99 100 101 104 107 108 109 110 111 112 113 114 115 116 117 118 119 120 122 123 163 166 175 184 185 186 187 188 189 192 193 194 195 196 197 199 200 201 355 359 362 363 365 366 367 369 379 380 382 383 385 386 387 389
ZINC000023991615  0.0000 0.0000 0.0000 0.0000 0.0000 -0.0010 -0.0720 -0.1468 0.0160 -0.7662 -0.1912 -0.0690 -0.7248 -2.9845 -0.1462 -0.0353 -0.2652 -0.2115 -0.0080 -0.0050 -0.0200 -0.0130 -1.0062 -0.0140 -0.0490 -0.5739 -0.3030 0.0270 -1.4860 -2.9967 -0.2030 0.2130 -23.1792 -2.9698 -0.0660 0.0300 -0.8034 -0.2114 0.0060 -0.0270 -0.0080 -0.0340 0.0010 0.0310 -2.7269 -0.4790 -2.1157 -0.0870 -0.0230 -0.1852 -1.3713 0.0154 -0.0840 -0.4235 -0.8117 -0.0150 -0.0569 -0.0660 -0.0380 -1.6069 -3.3385 -1.4738 -0.0510 -2.1509 -0.0390 -0.0430 -0.0160 0.0160 -0.1905 -0.1010 0.0710 -1.9399 -0.1890 0.1370 -2.8916
ZINC000026473483  0.0000 0.0000 0.0000 0.0000 0.0000 -0.0010 -0.0540 -0.0710 -0.0380 -1.3545 -0.2118 -0.0690 -0.7133 -3.4638 -0.1487 -0.0500 -0.5770 -0.2899 -0.0150 -0.0110 -0.0546 -0.0230 -1.0532 -0.0170 -0.0500 -0.3595 -0.2100 -0.0150 -1.4672 -4.8035 -0.1730 0.0620 -11.4675 -3.3680 -0.1860 -0.0680 -1.3904 -1.2310 0.0030 -0.0870 -0.0510 -0.0454 -0.0110 0.0120 -3.0969 -0.5199 -2.5128 -0.1050 -0.0470 -0.2130 -1.0991 -0.0310 -0.0470 -1.1116 -0.6757 0.0170 -0.2485 -0.1371 -0.0220 -0.3660 -2.5575 -1.3640 -0.0690 -1.6153 -0.0290 -0.0440 -0.0150 0.0150 -0.0960 -0.0750 0.0010 -1.4405 -0.1340 0.0190 -2.9789
ZINC000065939558  0.0000 0.0000 0.0000 0.0000 -0.0010 -0.0010 -0.0820 -0.0851 0.0010 -0.2693 -0.1140 -0.0590 -0.5740 -3.6946 -0.0950 -0.0350 -0.5835 -0.2423 -0.0160 -0.0140 -0.0823 -0.0300 -0.6169 -0.0080 -0.0300 -0.1070 -0.0940 -0.0330 -1.2642 -3.2486 -0.1090 0.0720 -25.3576 -2.0128 -0.0520 0.0720 -0.7118 -0.2652 0.0120 -0.0260 -0.0120 -0.0451 -0.0480 -0.1160 -2.1490 -2.1595 -3.1388 -0.0380 -0.0580 -0.2648 -0.5517 -0.0630 -0.0060 -1.2591 -1.1404 0.0010 -0.1494 -0.0740 -0.0490 -1.6511 -5.2796 -1.3859 0.0150 -0.9035 -0.0320 -0.0360 -0.0210 0.0160 -0.3132 -0.1690 0.1435 -4.1347 -0.4041 0.4791 -4.0232
ZINC000067715288  0.0000 0.0000 0.0000 0.0000 0.0000 -0.0010 -0.0600 -0.0840 -0.0050 -0.9167 -0.1600 -0.0530 -0.0626 -1.9769 -0.0940 -0.0170 -0.0233 -0.1929 -0.0120 -0.0110 -0.0270 -0.0180 -0.3991 -0.0120 -0.0840 -0.6022 -0.3000 -0.0010 -1.0702 -1.5561 -0.2685 0.1997 -23.4113 -2.7104 -0.1050 0.0070 -0.7546 -0.3694 -0.0040 -0.0220 -0.0100 -0.0576 -0.0370 -0.0670 -3.2274 -3.5824 -4.5055 -0.0280 -0.0530 -0.2052 -1.1962 -0.0430 -0.0410 -1.1704 -0.5494 -0.0200 -0.3813 -0.0660 -0.0130 -0.5456 -3.4687 -1.6262 -0.0320 -3.8397 -0.1085 -0.0270 -0.0170 0.0140 -0.2637 -0.0800 0.0200 -1.8345 -0.1210 0.0280 -2.8532
ZINC000068920681  0.0000 0.0000 0.0000 0.0000 0.0000 -0.0010 -0.0550 -0.0689 0.0060 -0.9256 -0.1804 -0.0690 -0.0777 -2.2601 -0.1060 -0.0320 -0.0460 -0.1320 -0.0250 -0.0200 -0.0340 -0.0200 -0.1269 0.0060 -0.0330 -0.5512 -0.2110 -0.0180 -0.8211 -2.1397 -0.1330 0.1680 -24.6278 -3.9054 -0.1218 -0.0560 -0.6696 -1.3147 -0.0150 -0.4673 -0.0250 -0.2352 -0.0010 -0.0250 -2.9900 -1.7100 -3.2287 -0.0170 -0.0100 -0.1371 -0.3741 -0.0150 -0.0580 -1.3754 -0.4974 -0.0270 -0.7855 -0.3309 -0.0284 -0.7282 -2.8882 -1.6337 -0.0720 -1.1806 -0.0210 -0.0380 -0.0120 0.0170 -0.3642 -0.1060 0.0120 -2.0827 -0.1470 0.0160 -4.2413
ZINC000072898724  0.0000 0.0000 0.0000 0.0000 0.0000 -0.0010 -0.0510 -0.0930 -0.0260 -1.7043 -0.2885 -0.1442 -1.0216 -2.3255 -0.1635 -0.1612 -0.6468 -0.2351 -0.0300 -0.0160 -0.0450 -0.0290 -1.5781 0.0180 -0.0830 -0.5888 -0.1850 -0.0400 -1.8107 -3.6395 -0.1890 0.0420 -12.8662 -3.2787 -0.0663 -0.0320 -0.9380 0.0348 -0.0070 -0.0530 -0.0140 -0.1050 -0.0270 0.0020 -2.6306 -0.5430 -1.8566 -0.0970 -0.0700 -0.3350 -0.7582 -0.0940 -0.0280 -1.0663 -1.6582 -0.0250 -0.3899 -0.0450 -0.0170 -0.5932 -2.6660 -1.6602 -0.0210 -1.6420 -0.0440 -0.0290 -0.0140 0.0170 -0.1994 -0.0840 0.0210 -1.8686 -0.1190 0.0320 -3.2378
ZINC000080960073  -8.6639 -0.0178 -0.0030 -0.0780 -0.0020 -0.0130 -0.0830 -0.1529 -0.0040 -0.9740 -0.1637 -0.1040 -0.6101 -2.5609 -0.0849 -0.1687 -0.6194 -0.1120 -0.0180 -0.0100 -0.0460 -0.0260 -0.4091 -0.0030 -0.0780 -0.2525 -0.1140 -0.0430 -1.9554 -1.2601 -0.2205 0.1320 -29.7933 -3.1032 -0.1230 0.1640 -0.9487 -0.4875 0.0210 -0.0050 -0.0190 -0.0270 -0.0240 -0.0460 -2.3332 -0.8541 -1.9787 -0.0550 -0.0410 -0.3127 -0.9809 -0.0740 -0.0140 -1.1898 -1.3599 0.0110 -0.3455 -0.1180 -0.0600 -2.4974 -5.0581 -2.4185 -0.0370 -0.6906 -0.0340 -0.0380 -0.0100 0.0110 -0.1370 -0.0770 0.0720 -2.1510 -0.1880 0.2962 -3.2017
ZINC000080960915  0.0000 0.0000 0.0000 0.0000 0.0000 -0.0010 -0.0530 -0.1129 -0.0280 -1.0297 -0.1778 -0.0730 -0.7234 -4.5797 -0.0850 -0.0820 -0.8491 -0.3551 -0.0170 -0.0090 -0.2427 -0.0330 -1.1903 -0.0100 -0.0530 -0.1754 -0.1210 -0.0260 -1.4552 -4.1693 -0.1610 0.1090 -16.4620 -3.9308 -0.0532 -0.1520 -2.7609 -0.6938 -0.0520 -0.1553 0.0090 -0.1556 -0.0390 -0.0458 -1.9945 -0.3458 -2.2159 -0.1220 -0.0820 -0.1530 -0.2669 -0.0720 -0.0170 -1.4404 -1.1669 -0.0350 -0.8543 -0.0863 -0.0110 -1.2511 -3.9169 -2.3830 0.0190 -1.1253 -0.0480 -0.0260 -0.0150 0.0110 -0.1530 -0.0890 0.0620 -2.4724 -0.1630 0.0845 -2.6939
ZINC000085334606  0.0000 0.0000 0.0000 0.0000 0.0000 -0.0010 -0.0660 -0.1140 -0.0216 -1.4147 -0.2413 -0.0620 -0.5978 -4.2946 -0.1236 -0.0400 -0.4967 -0.2207 -0.0150 -0.0120 -0.0650 -0.0250 -1.0594 -0.0090 -0.0440 -0.1942 -0.1060 -0.0270 -1.4309 -3.2906 -0.0710 0.0140 -17.9095 -2.8930 -0.0959 -0.0060 -0.9812 -0.3502 -0.0010 -0.0425 -0.0160 -0.0709 -0.0160 -0.0423 -2.7624 -0.6866 -1.3872 -0.0890 -0.0450 -0.0926 -0.3461 -0.0260 -0.0680 -0.7457 -0.4655 -0.0350 -0.3001 -0.0700 -0.0250 -1.5589 -3.3114 -1.5921 -0.0400 -0.8345 -0.0300 -0.0260 -0.0100 0.0160 -0.2501 -0.0870 -0.0150 -2.6333 -0.1800 0.0914 -4.9143
